"Y","Density"
-6.,0.0006657642326607121
-5.99,0.0006657098456817803
-5.98,0.000665654689117341
-5.97,0.0006655987749127704
-5.96,0.0006655421152073572
-5.95,0.0006654846938312276
-5.94,0.0006654265799078534
-5.93,0.0006653677580720846
-5.92,0.0006653082412512204
-5.91,0.0006652480425726548
-5.9,0.0006651871753650987
-5.89,0.0006651256531597917
-5.88,0.0006650634896917166
-5.87,0.0006650006989007932
-5.86,0.0006649372949330838
-5.8500000000000005,0.0006648732921419767
-5.84,0.0006648087050893699
-5.83,0.0006647435485468476
-5.82,0.000664677837496849
-5.8100000000000005,0.0006646115871338261
-5.8,0.0006645448128654015
-5.79,0.0006644775303135079
-5.78,0.0006644097553155262
-5.7700000000000005,0.0006643415039254189
-5.76,0.0006642727924148452
-5.75,0.000664203637274272
-5.74,0.0006641340552140803
-5.73,0.0006640640631656512
-5.72,0.0006639936782824542
-5.71,0.0006639229179411207
-5.7,0.0006638517997425069
-5.69,0.0006637803415127442
-5.68,0.0006637085613042855
-5.67,0.0006636364773969399
-5.66,0.0006635641082988864
-5.65,0.0006634914727476946
-5.64,0.0006634185897113141
-5.63,0.0006633454783890699
-5.62,0.0006632721582126346
-5.61,0.0006631986488469907
-5.6000000000000005,0.0006631249701913873
-5.59,0.0006630511424048131
-5.58,0.0006629771857842308
-5.57,0.0006629031210108793
-5.5600000000000005,0.0006628289689057853
-5.55,0.0006627547505533435
-5.54,0.0006626804872776535
-5.53,0.0006626062006433759
-5.5200000000000005,0.0006625319124565789
-5.51,0.0006624576447655699
-5.5,0.000662383419861712
-5.49,0.0006623092602802236
-5.48,0.0006622351888009669
-5.47,0.0006621612284492166
-5.46,0.0006620874024964181
-5.45,0.0006620137344609249
-5.44,0.0006619402481087243
-5.43,0.0006618669674541444
-5.42,0.0006617939167605422
-5.41,0.0006617211205409831
-5.4,0.000661648603558894
-5.39,0.000661576390828704
-5.38,0.0006615045076164692
-5.37,0.0006614329794404754
-5.36,0.0006613618320718261
-5.3500000000000005,0.0006612910915350117
-5.34,0.0006612207841084575
-5.33,0.000661150913607619
-5.32,0.0006610815519572202
-5.3100000000000005,0.0006610127037778836
-5.3,0.000660944396368886
-5.29,0.0006608766572859086
-5.28,0.0006608095143414738
-5.2700000000000005,0.0006607429956053601
-5.26,0.0006606771294049981
-5.25,0.0006606119443258437
-5.24,0.000660547469211734
-5.23,0.0006604837331652167
-5.22,0.0006604207655478676
-5.21,0.0006603585959805763
-5.2,0.0006602972543438178
-5.19,0.0006602367707778987
-5.18,0.0006601771756831824
-5.17,0.0006601184997202924
-5.16,0.0006600607738102927
-5.15,0.0006600040291348449
-5.14,0.0006599482971363444
-5.13,0.0006598936095180309
-5.12,0.0006598399982440785
-5.11,0.0006597874955396591
-5.1000000000000005,0.0006597361338909825
-5.09,0.0006596859460453193
-5.08,0.0006596369650109864
-5.07,0.0006595892240573221
-5.0600000000000005,0.0006595426965989787
-5.05,0.0006594975354813275
-5.04,0.0006594537157996297
-5.03,0.0006594112718661736
-5.0200000000000005,0.0006593702382540242
-5.01,0.0006593306497965667
-5.,0.0006592925415873059
-4.99,0.0006592560177210902
-4.98,0.0006592209776343662
-4.97,0.0006591875246530763
-4.96,0.0006591556949085528
-4.95,0.0006591255247908038
-4.94,0.0006590970509481478
-4.93,0.0006590703102868224
-4.92,0.0006590453399705659
-4.91,0.0006590221774201685
-4.9,0.0006590008603130001
-4.89,0.0006589814265825105
-4.88,0.0006589638745902838
-4.87,0.000658948321958089
-4.86,0.0006589347680292655
-4.8500000000000005,0.000658923251755972
-4.84,0.0006589138123435207
-4.83,0.0006589064892497052
-4.82,0.0006589013221841004
-4.8100000000000005,0.0006588983511073385
-4.8,0.0006588976162303508
-4.79,0.0006588991580135826
-4.78,0.0006589030171661788
-4.7700000000000005,0.000658909234645139
-4.76,0.0006589178516544451
-4.75,0.0006589289096441608
-4.74,0.0006589424503094934
-4.73,0.0006589585155898385
-4.72,0.0006589771476694367
-4.71,0.0006589983889697741
-4.7,0.0006590222821568688
-4.69,0.0006590488701396951
-4.68,0.0006590781960615189
-4.67,0.0006591103033049701
-4.66,0.0006591452354892883
-4.65,0.0006591830364691216
-4.64,0.0006592237503332916
-4.63,0.0006592674214035327
-4.62,0.0006593140942331941
-4.61,0.0006593638136059154
-4.6000000000000005,0.0006594166245342701
-4.59,0.0006594725722583799
-4.58,0.0006595317022444968
-4.57,0.0006595940601835541
-4.5600000000000005,0.0006596596919896838
-4.55,0.0006597286437987152
-4.54,0.0006598009619666213
-4.53,0.0006598766930679557
-4.5200000000000005,0.0006599558838942469
-4.51,0.0006600385814523616
-4.5,0.0006601248329628425
-4.49,0.0006602146858582092
-4.48,0.0006603081877812333
-4.47,0.0006604053865831774
-4.46,0.000660506330322008
-4.45,0.0006606110672605741
-4.44,0.0006607196458647547
-4.43,0.00066083211480158
-4.42,0.0006609485229373139
-4.41,0.0006610689193355132
-4.4,0.0006611933532550498
-4.39,0.0006613218741481095
-4.38,0.0006614545316581506
-4.37,0.00066159137561784
-4.36,0.0006617324560469554
-4.3500000000000005,0.0006618778231502561
-4.34,0.0006620275273153239
-4.33,0.0006621816191103766
-4.32,0.0006623401492820466
-4.3100000000000005,0.0006625031687531309
-4.3,0.0006626707286203144
-4.29,0.0006628428801518573
-4.28,0.0006630196747852574
-4.2700000000000005,0.0006632011641248796
-4.26,0.0006633873999395586
-4.25,0.0006635784341601685
-4.24,0.0006637743188771651
-4.23,0.0006639751063381015
-4.22,0.0006641808489451083
-4.21,0.0006643915992523478
