"LBin","Bin","LCounts","Counts","Treatment"
0,1,0,0.00579827463089172,"Truth"
1,2,0.00579827463089172,0.0066962796299187,"Truth"
2,3,0.0066962796299187,0.007818834766097904,"Truth"
3,4,0.007818834766097904,0.009242967455049211,"Truth"
4,5,0.009242967455049211,0.011076050091120837,"Truth"
5,6,0.011076050091120837,0.013463756200786436,"Truth"
6,7,0.013463756200786436,0.016587599516984075,"Truth"
7,8,0.016587599516984075,0.020621348785347327,"Truth"
8,9,0.020621348785347327,0.025578942124374837,"Truth"
9,10,0.025578942124374837,0.03100242141385695,"Truth"
10,11,0.03100242141385695,0.03575974513489752,"Truth"
11,12,0.03575974513489752,0.038736130003903496,"Truth"
12,13,0.038736130003903496,0.04020811568011584,"Truth"
13,14,0.04020811568011584,0.04183104534869295,"Truth"
14,15,0.04183104534869295,0.04516723530085362,"Truth"
15,16,0.04516723530085362,0.05064138917725793,"Truth"
16,17,0.05064138917725793,0.05700604230464359,"Truth"
17,18,0.05700604230464359,0.06116070164586696,"Truth"
18,19,0.06116070164586696,0.05988510813057747,"Truth"
19,20,0.05988510813057747,0.053060744761957795,"Truth"
20,21,0.053060744761957795,0.04367620208111661,"Truth"
21,22,0.04367620208111661,0.03464756965134502,"Truth"
22,23,0.03464756965134502,0.0272365640657119,"Truth"
23,24,0.0272365640657119,0.021547135921312743,"Truth"
24,25,0.021547135921312743,0.01727127933757583,"Truth"
25,26,0.01727127933757583,0.014055970559662623,"Truth"
26,27,0.014055970559662623,0.011613031415622643,"Truth"
27,28,0.011613031415622643,0.009730403930996057,"Truth"
28,29,0.009730403930996057,0.00825736520514525,"Truth"
29,30,0.00825736520514525,0.00708752938967161,"Truth"
0,1,0,0.00237888338260433,"Measured"
1,2,0.00237888338260433,0.0034997538771238883,"Measured"
2,3,0.0034997538771238883,0.0047621975912634515,"Measured"
3,4,0.0047621975912634515,0.0063519916644112565,"Measured"
4,5,0.0063519916644112565,0.008382176390367431,"Measured"
5,6,0.008382176390367431,0.01089057631387509,"Measured"
6,7,0.01089057631387509,0.013786554496780968,"Measured"
7,8,0.013786554496780968,0.0168342494719797,"Measured"
8,9,0.0168342494719797,0.01974850288155293,"Measured"
9,10,0.01974850288155293,0.02237744649573797,"Measured"
10,11,0.02237744649573797,0.02482094792294639,"Measured"
11,12,0.02482094792294639,0.027340451756231378,"Measured"
12,13,0.027340451756231378,0.030087134310244734,"Measured"
13,14,0.030087134310244734,0.0328482643696133,"Measured"
14,15,0.0328482643696133,0.0350235594834186,"Measured"
15,16,0.0350235594834186,0.03588597424203615,"Measured"
16,17,0.03588597424203615,0.03496959268711477,"Measured"
17,18,0.03496959268711477,0.03232262235495617,"Measured"
18,19,0.03232262235495617,0.028465553880343365,"Measured"
19,20,0.028465553880343365,0.02411966462080757,"Measured"
20,21,0.02411966462080757,0.019911959941949886,"Measured"
21,22,0.019911959941949886,0.01621609392658143,"Measured"
22,23,0.01621609392658143,0.013147888901804282,"Measured"
23,24,0.013147888901804282,0.01064350834161225,"Measured"
24,25,0.01064350834161225,0.008551769601019263,"Measured"
25,26,0.008551769601019263,0.0067156665410293285,"Measured"
26,27,0.0067156665410293285,0.005038979414786728,"Measured"
27,28,0.005038979414786728,0.003521047555849509,"Measured"
28,29,0.003521047555849509,0.002235914922002151,"Measured"
29,30,0.002235914922002151,0.0012638046853702394,"Measured"
